Date,Suspanded Matter,Sulfur dioxide,Carbon monoxide,Nitrogen dioxide,Nitrous oxide,Phenol,Hydrogen chloride,Ammonia,Formaldehyde
1/1/2020,,,,,,,,,
1/2/2020,0.6,0.4,1.6,1.9,0.6,0.9,0.1,0.3,1.2
1/3/2020,0.3,0.5,1.8,1.7,0.5,1.0,0.1,0.3,1.1
1/4/2020,0.3,0.4,1.7,1.7,0.5,1.2,0.1,0.4,1.0
1/5/2020,0.3,0.6,2.1,2.0,0.5,1.4,0.1,0.3,0.9
1/6/2020,,,,,,,,,
1/7/2020,,,,,,,,,
1/8/2020,,,,,,,,,
1/9/2020,0.3,0.4,1.8,1.7,0.5,0.9,0.1,0.4,1.1
1/10/2020,0.5,0.5,1.8,1.9,0.6,1.0,0.2,0.3,1.2
1/11/2020,0.4,0.5,1.8,1.8,0.6,1.3,0.1,0.3,1.1
1/12/2020,,,,,,,,,
1/13/2020,0.6,0.5,2.0,1.8,0.6,1.2,0.2,0.4,1.1
1/14/2020,0.4,0.6,2.3,1.6,0.4,1.2,0.1,0.4,0.6
1/15/2020,0.4,0.4,2.0,0.8,0.5,1.2,0.1,0.2,0.8
1/16/2020,0.3,0.5,1.7,3.0,1.0,1.0,0.1,0.4,0.7
1/17/2020,0.3,0.3,1.7,1.4,0.4,1.1,0.1,0.3,0.8
1/18/2020,0.4,0.6,1.8,1.5,0.4,1.2,0.1,0.3,0.7
1/19/2020,,,,,,,,,
1/20/2020,0.3,0.5,1.6,1.5,0.4,0.8,0.1,0.3,0.7
1/21/2020,0.3,0.3,1.6,1.9,0.6,1.1,0.1,0.4,1.0
1/22/2020,0.4,0.6,1.6,1.8,0.5,1.3,0.1,0.3,0.7
1/23/2020,0.3,0.5,1.7,2.5,0.8,1.0,0.3,0.3,1.0
1/24/2020,0.3,0.4,1.7,1.8,0.5,1.1,0.2,0.4,1.2
1/25/2020,0.5,0.5,1.8,1.8,0.5,1.0,0.3,0.4,1.3
1/26/2020,,,,,,,,,
1/27/2020,0.4,0.3,1.9,1.7,0.5,0.8,0.3,0.4,1.4
1/28/2020,0.5,0.5,2.1,1.5,0.4,1.2,0.2,0.3,1.6
1/29/2020,0.2,0.5,1.8,1.3,0.3,1.3,0.2,0.2,1.0
1/30/2020,0.3,0.4,1.6,1.6,0.4,1.2,0.2,0.3,1.2
1/31/2020,0.3,0.5,1.5,1.7,0.5,1.2,0.2,0.3,1.8
2/1/2020,0.3,0.5,1.5,1.6,0.4,1.2,0.2,0.1,1.8
2/2/2020,,,,,,,,,
2/3/2020,0.2,0.3,1.5,1.1,0.2,1.4,0.2,0.2,2
2/4/2020,0.3,0.4,1.5,1.4,0.3,0.9,0.2,0.2,1.7
2/5/2020,0.2,0.6,1.5,1.4,0.4,1.1,0.1,0.2,2.4
2/6/2020,0.2,0.6,1.6,1.1,0.3,1.4,0.1,0.2,2.6
