Pollutant,Year,Mean,Median,Mode,Min,Max,Kurtosis,Skewness,Std Dev
Suspanded Matter,Overall,0.6442569458375125,0.6315999999999999,0.3383,0.2,2.6617,2.548824609399572,0.7566315812833537,0.24506545683688205
Suspanded Matter,2020,0.647482493150685,0.5217,0.3,0.2,1.285,-1.0876551330775261,0.49609137204449355,0.323210533313466
Suspanded Matter,2021,0.6921717795042138,0.6677876470588234,0.3883,0.2767,1.6783,0.6459306365660149,0.5089626592091531,0.20816510805043895
Suspanded Matter,2022,0.8252330661322644,0.8252330661322644,0.7589617234468937,0.7589617234468937,0.8915044088176353,-1.2000000000000002,0.0,0.038419413750162994
Suspanded Matter,2023,0.6124513861864931,0.6304375,0.5717,0.2667,1.1167,-0.43410315688634027,-0.022845448187799103,0.16651106150789602
Suspanded Matter,2024,0.5058537305590584,0.4773777777777778,0.2667,0.2133,1.8,7.738211693443361,2.1019299480841496,0.207009131516797
Suspanded Matter,2025,0.5105788690476191,0.41126956521739133,0.3383,0.2683,2.6617,16.40495706490943,3.5339342591887446,0.31381314140313193
Sulfur dioxide,Overall,0.4199430040120361,0.43160671342685364,0.3497,0.1248,0.8,-0.4804568928485069,-0.167752527876151,0.10148309409656762
Sulfur dioxide,2020,0.4570883287671233,0.4646070588235294,0.5,0.1925,0.8,0.5114009326180171,-0.016585847882328406,0.09631367104451334
Sulfur dioxide,2021,0.5207098129958547,0.5268,0.4888,0.2185,0.6617,5.058468582820316,-1.3709620905019142,0.0567238966967354
Sulfur dioxide,2022,0.48631763527054106,0.48631763527054106,0.43762625250500997,0.43762625250500997,0.5350090180360721,-1.1999999999999997,0.0,0.028227802617758712
Sulfur dioxide,2023,0.34519980779261367,0.3457,0.2865,0.193,0.4662,-1.1917246931428171,-0.288256430831799,0.07105936528527106
Sulfur dioxide,2024,0.3260253047498949,0.3334115384615385,0.3235,0.1248,0.476,0.42585787711994705,-0.5539774668999975,0.06757856368601756
Sulfur dioxide,2025,0.3431005952380952,0.3497,0.3497,0.24,0.4058,2.424492630921804,-1.0123914746247038,0.025142205153630248
Carbon monoxide,Overall,0.612476479438315,0.5694067134268537,0.525,0.2583,2.3,15.70159067936039,3.3427978266563505,0.2180026805331602
Carbon monoxide,2020,0.7057428493150685,0.5579317647058823,0.5,0.2583,2.3,2.595209429555156,1.908880835273397,0.41632089370465364
Carbon monoxide,2021,0.6296566452905811,0.6435994117647058,0.4733,0.3675,1.0583,0.43584318781951614,0.02399602841822751,0.13267694173177874
Carbon monoxide,2022,0.45936973947895793,0.45936973947895793,0.37974929859719436,0.37974929859719436,0.5389901803607214,-1.1999999999999997,0.0,0.04615827199593054
Carbon monoxide,2023,0.6063670040608086,0.58294,0.5358,0.4533,0.8867,1.078553276287321,1.200821947879068,0.08175869583614734
Carbon monoxide,2024,0.6694288881883145,0.6342,0.5725,0.4108,1.1058,-0.41153309371828906,0.6676877407787803,0.14714616809565317
Carbon monoxide,2025,0.594359523809524,0.5921000000000001,0.525,0.4958,0.9508,4.229326776627518,1.6730690680350235,0.07792160890752149
Nitrogen dioxide,Overall,0.9611912738214644,0.9172,0.9172,0.3538,3.0,6.391503689782919,1.9446105872522323,0.28603214243046976
Nitrogen dioxide,2020,1.253581479452055,1.1,1.7,0.4975,3.0,0.35932751499876536,0.9160956978205549,0.4213571310397018
Nitrogen dioxide,2021,1.030037227001949,1.0259,0.8322,0.6562,1.8834,2.532090669580939,1.0248159202209064,0.17005832917628805
Nitrogen dioxide,2022,0.9311599198396794,0.9311599198396793,0.8184585170340681,0.8184585170340681,1.0438613226452904,-1.2,0.0,0.06533626223885727
Nitrogen dioxide,2023,0.7884931545282345,0.782925,0.3925,0.3925,1.5891,2.5727513956718373,0.8968187916717678,0.1547910649591853
Nitrogen dioxide,2024,0.8463357923497269,0.8032250000000001,0.5334,0.3538,1.845,1.1415574027919213,0.787748737884722,0.21437900983915265
Nitrogen dioxide,2025,0.8670374999999999,0.9172,0.9172,0.4025,2.8519,23.19545353444109,3.0482516290214074,0.24938899723630187
Nitrous oxide,Overall,0.5086539117352056,0.5211708416833667,0.3944,0.0925,1.0058,0.836906863699884,-0.11402382257276523,0.12473805732712606
Nitrous oxide,2020,0.49933783561643835,0.5237,0.5,0.0925,1.0,-0.06641071583207925,-0.5711484206898618,0.16798099455661178
Nitrous oxide,2021,0.6286252425947787,0.6294500000000001,0.4615,0.4037,1.0058,1.550207519117619,0.45797386790351663,0.09025149946054041
Nitrous oxide,2022,0.539818637274549,0.5398186372745492,0.5166947895791583,0.5166947895791583,0.5629424849699399,-1.1999999999999995,0.0,0.013405563190755828
Nitrous oxide,2023,0.4656601601728219,0.49076,0.409,0.2519,0.8688,0.9695162402298463,0.15904448140787528,0.08917677805840184
Nitrous oxide,2024,0.4520889764606977,0.4362,0.3808,0.221,0.9525,1.9772266578237412,0.9777069906602971,0.10899386401684978
Nitrous oxide,2025,0.4171729166666667,0.3944,0.3944,0.239,0.8615,4.713034817550518,1.6913874958959267,0.09747018220841712
Phenol,Overall,0.5038167753259779,0.4292167334669339,0.2556,0.1222,1.7,2.668388397414193,1.4440171179709456,0.21763663622841503
Phenol,2020,0.7677451506849314,0.6888470588235295,1.0,0.2833,1.7,0.9298630243550692,0.8874503987143766,0.23790514984989317
Phenol,2021,0.6163784082136876,0.6072188235294117,0.4667,0.2611,1.3,3.441971907994412,1.3836211630603317,0.1395676253678258
Phenol,2022,0.41494388777555113,0.41494388777555113,0.38456192384769544,0.38456192384769544,0.4453258517034068,-1.1999999999999995,0.0,0.017613303056623977
Phenol,2023,0.41983905490644097,0.3782184368737475,0.3944,0.1556,1.4167,9.267195284909107,2.5996097097628152,0.1511788360620481
Phenol,2024,0.3730321773854561,0.3375980769230769,0.3,0.1222,1.0944,3.982893142818125,1.6315738350537123,0.14494941347722587
Phenol,2025,0.3463095238095238,0.29703478260869565,0.2556,0.1556,1.3056,10.158263759757059,2.9101431168883005,0.16725318187811244
Hydrogen chloride,Overall,0.19050017552657975,0.17939539078156314,0.1,0.0,0.7182,6.949555308881189,1.5377699029050067,0.06370094890112378
Hydrogen chloride,2020,0.15774794520547947,0.1403391304347826,0.1,0.0,0.35,-0.9069256066330436,0.24139881693326434,0.07174979377760295
Hydrogen chloride,2021,0.19950801109067448,0.2079,0.197,0.0791,0.3109,-0.33950165225656814,-0.36561578955081037,0.039135712364100614
Hydrogen chloride,2022,0.15874669338677355,0.15874669338677355,0.13937955911823646,0.13937955911823646,0.1781138276553106,-1.1999999999999997,0.0,0.011227687782793915
Hydrogen chloride,2023,0.19950245042244658,0.18439218436873747,0.1682,0.1162,0.3984,3.485223153483212,1.7451883334466407,0.046671843479005735
Hydrogen chloride,2024,0.2261464165615805,0.20775,0.2484,0.1045,0.7182,4.600652029639378,1.770270920980453,0.08847665015331455
Hydrogen chloride,2025,0.21385952380952378,0.21357500000000001,0.2257,0.1032,0.5162,6.417871157370547,2.0066118179591874,0.059150891114915304
Ammonia,Overall,0.22059207622868604,0.2,0.1431,0.0469,0.9238,7.093963258089204,2.0532995059876504,0.08912620899770443
Ammonia,2020,0.2588055342465754,0.2752117647058823,0.2,0.0694,0.6025,1.3669926576417635,0.7172824927160254,0.0914514144039788
Ammonia,2021,0.2197479428445933,0.2194,0.1994,0.0469,0.5306,3.042713858464029,0.28719929298404173,0.05410570701867983
Ammonia,2022,0.19997174348697397,0.19997174348697394,0.16692725450901802,0.16692725450901802,0.23301623246492986,-1.1999999999999988,0.0,0.019156845821490187
Ammonia,2023,0.21056995328908606,0.1656563126252505,0.1306,0.0975,0.9238,8.467453945036356,2.517187229447145,0.10419962557117911
Ammonia,2024,0.21461943043295503,0.18312499999999998,0.1306,0.065,0.5656,1.315890364948185,1.2507213789316225,0.09922616275595443
Ammonia,2025,0.2189889880952381,0.15814999999999999,0.1431,0.0912,0.7875,4.8538482339657225,2.2851501854726437,0.14064527155883058
Formaldehyde,Overall,0.7125770561685055,0.6665311764705882,0.4389,0.2333,3.6,7.805904338453294,2.066730056496011,0.3505714496966382
Formaldehyde,2020,1.1244810684931508,1.0389,1.0,0.3333,3.6,3.176896250290327,1.3333922253210804,0.48108575273854604
Formaldehyde,2021,0.8415472264529058,0.7753682352941177,0.4889,0.3889,1.9444,2.406460907519097,1.3120685359027864,0.23800292999939557
Formaldehyde,2022,0.7559486973947895,0.7559486973947895,0.6262509018036072,0.6262509018036072,0.8856464929859719,-1.1999999999999997,0.0,0.07518956262827715
Formaldehyde,2023,0.546964409134391,0.5557010020040081,0.4,0.30385384615384614,1.6278,16.80741110681932,2.4758565233124865,0.12809907956576147
Formaldehyde,2024,0.44524218158890294,0.4,0.3667,0.2333,1.0056,1.5910369287653827,1.3516742314895378,0.14866173602998078
Formaldehyde,2025,0.3854547619047619,0.37706086956521745,0.4389,0.2333,0.7,1.4115489785998716,0.748258122876846,0.08288403481759368
